conflict_no,incident_no,start_date,end_date,province,district,llg,ward,village_community,x_lon,y_lat,source,conflict_name,people_groups_involved,status,root_cause,proximate_cause,trigger,incident_description,response_from_authorities,retaliation_related_incident,total_dead,total_injured,total_displaced,men_dead,men_injured,men_displaced,women_dead,women_injured,women_displaced,total_child_dead,total_child_injured,boy_dead,boy_injured,boy_displaced,girl_dead,girl_injured,girl_displaced,id,adm1_pcode,adm2_pcode,adm3_pcode,total_casualties,ignore,actor_simple
6,NA,2022-02-15,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,Kakarene 1 Ward - Honaka village,142.777,-5.74631,International Organizations,Honaka 2 fight,Honaka tribe and Talita tribe,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,PG21,PG2105,PG210517,0,actor2,Talita tribe
7,NA,2021-11-16,NA,Hela Province,Tari Pori District,Tebi Rural LLG,NA,Pai Ward,142.96190000000001,-5.88488,International Organizations,Pai Kela fight,"Taputa, Tigipi and Kela",Paused,NA,NA,NA,To be determined,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,PG21,PG2108,PG210830,1,actor1,Taputa
7,NA,2021-11-16,NA,Hela Province,Tari Pori District,Tebi Rural LLG,NA,Pai Ward,142.96190000000001,-5.88488,International Organizations,Pai Kela fight,"Taputa, Tigipi and Kela",Paused,NA,NA,NA,To be determined,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,PG21,PG2108,PG210830,1,actor2,Tigipi
7,NA,2021-11-16,NA,Hela Province,Tari Pori District,Tebi Rural LLG,NA,Pai Ward,142.96190000000001,-5.88488,International Organizations,Pai Kela fight,"Taputa, Tigipi and Kela",Paused,NA,NA,NA,To be determined,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,PG21,PG2108,PG210830,1,actor3,Kela
8,NA,2018-01-01,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Yongale Ward Vs Taw and a Ward,143.3084,-5.75601,International Organizations,Yongale- Taw and a fight,Yongale and Taw and a,Paused,NA,NA,NA,Land tresspassing,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,PG21,PG2104,PG210431,0,actor1,Yongale
8,NA,2018-01-01,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Yongale Ward Vs Taw and a Ward,143.3084,-5.75601,International Organizations,Yongale- Taw and a fight,Yongale and Taw and a,Paused,NA,NA,NA,Land tresspassing,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,PG21,PG2104,PG210431,0,actor2,Taw
8,NA,2021-03-01,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Yongale Ward Vs Taw and a Ward,143.3084,-5.75601,International Organizations,Yongale- Taw and a fight,Yongale and Taw and a,Paused,NA,NA,NA,Land tresspassing,NA,NA,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,PG21,PG2104,PG210431,50,actor1,Yongale
8,NA,2021-03-01,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Yongale Ward Vs Taw and a Ward,143.3084,-5.75601,International Organizations,Yongale- Taw and a fight,Yongale and Taw and a,Paused,NA,NA,NA,Land tresspassing,NA,NA,10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,PG21,PG2104,PG210431,50,actor2,Taw
8,NA,2021-12-16,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Yongale Ward Vs Taw and a Ward,143.3084,-5.75601,International Organizations,Yongale- Taw and a fight,Yongale and Taw and a,Paused,NA,NA,NA,Land tresspassing,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,PG21,PG2104,PG210431,0,actor1,Yongale
8,NA,2021-12-16,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,Yongale Ward Vs Taw and a Ward,143.3084,-5.75601,International Organizations,Yongale- Taw and a fight,Yongale and Taw and a,Paused,NA,NA,NA,Land tresspassing,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,PG21,PG2104,PG210431,0,actor2,Taw
9,NA,2016-01-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Tigibi 1,"Toma, Hatani",143.0327,-5.92116,International Organizations,Tigibi Conflict,Toma and. Hatani,Paused,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,PG21,PG2104,PG210411,0,actor1,Toma
9,NA,2016-01-01,NA,Hela Province,Komo Magarima District,Hulia Rural LLG,Tigibi 1,"Toma, Hatani",143.0327,-5.92116,International Organizations,Tigibi Conflict,Toma and. Hatani,Paused,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,PG21,PG2104,PG210411,0,actor2,Hatani
10,NA,2017-01-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,Tumbita and Magara 1 Ward,142.8195,-5.83959,International Organizations,Tumbita- Magara 2 Fight,Terakali and Tagapua,Active,NA,NA,NA,Election/politics related,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,PG21,PG2105,PG210517,5,actor1,Terakali
10,NA,2017-01-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,Tumbita and Magara 1 Ward,142.8195,-5.83959,International Organizations,Tumbita- Magara 2 Fight,Terakali and Tagapua,Active,NA,NA,NA,Election/politics related,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,PG21,PG2105,PG210517,5,actor2,Tagapua
11,NA,2021-05-25,NA,Hela Province,Komo Magarima District,Komo Rural LLG,NA,Kulu Pupa Ward,142.7629,-5.91657,International Organizations,Pina- Takua fight,Pina tribes and Takua tribes,Active,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,PG21,PG2104,PG210412,7,actor1,Pina tribes
11,NA,2021-05-25,NA,Hela Province,Komo Magarima District,Komo Rural LLG,NA,Kulu Pupa Ward,142.7629,-5.91657,International Organizations,Pina- Takua fight,Pina tribes and Takua tribes,Active,NA,NA,NA,Spillover conflict due to clan alleigance,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,PG21,PG2104,PG210412,7,actor2,Takua tribes
11,NA,2021-12-16,NA,Hela Province,Komo Magarima District,Komo Rural LLG,NA,Kulu Pupa Ward,142.7629,-5.91657,International Organizations,Pina- Takua fight,Pina tribes and Takua tribes,Paused,NA,NA,NA,Alcohol abuse related,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,PG21,PG2104,PG210412,0,actor1,Pina tribes
11,NA,2021-12-16,NA,Hela Province,Komo Magarima District,Komo Rural LLG,NA,Kulu Pupa Ward,142.7629,-5.91657,International Organizations,Pina- Takua fight,Pina tribes and Takua tribes,Paused,NA,NA,NA,Alcohol abuse related,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,PG21,PG2104,PG210412,0,actor2,Takua tribes
12,NA,2021-11-15,NA,Hela Province,Komo Magarima District,Lower Wage LLG,NA,Ombal Ward,143.3733,-6.09452,International Organizations,Ombal fight (Mul- Lai),Lai clan and Mul clan,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,PG21,PG2104,PG210413,0,actor1,Lai clan
12,NA,2021-11-15,NA,Hela Province,Komo Magarima District,Lower Wage LLG,NA,Ombal Ward,143.3733,-6.09452,International Organizations,Ombal fight (Mul- Lai),Lai clan and Mul clan,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,PG21,PG2104,PG210413,0,actor2,Mul clan
13,NA,2021-01-05,NA,Hela Province,Komo Magarima District,Lower Wage LLG,NA,Sebiba Ward,143.37,-6.08872,International Organizations,Sebiba fight,Kombak tribe and Lap tribe,Active,NA,NA,NA,Alcohol abuse related,NA,NA,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,PG21,PG2104,PG210413,56,actor1,Kombak tribe
13,NA,2021-01-05,NA,Hela Province,Komo Magarima District,Lower Wage LLG,NA,Sebiba Ward,143.37,-6.08872,International Organizations,Sebiba fight,Kombak tribe and Lap tribe,Active,NA,NA,NA,Alcohol abuse related,NA,NA,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,PG21,PG2104,PG210413,56,actor2,Lap tribe
14,NA,2021-03-25,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,NA,Walumi and Piribu Villages,142.9315,-5.86044,International Organizations,Tipa- Kikita,Tipa and Kikita tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,PG21,PG2108,PG210827,24,actor1,Tipa
14,NA,2021-03-25,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,NA,Walumi and Piribu Villages,142.9315,-5.86044,International Organizations,Tipa- Kikita,Tipa and Kikita tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,PG21,PG2108,PG210827,24,actor2,Kitita Tribes
14,NA,2021-03-27,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,NA,Walumi and Piribu Villages,142.9315,-5.86044,International Organizations,Tipa- Kikita,Tipa and Kikita tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,PG21,PG2108,PG210827,4,actor1,Tipa
14,NA,2021-03-27,NA,Hela Province,Tari Pori District,Hayapuga Rural LLG,NA,Walumi and Piribu Villages,142.9315,-5.86044,International Organizations,Tipa- Kikita,Tipa and Kikita tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,PG21,PG2108,PG210827,4,actor2,Kitita Tribes
15,NA,2020-12-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),Nalipa None and Aguipa,142.7383,-5.7129,UN Agencies,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,PG21,PG2105,PG210517,26,actor1,Aguiba
15,NA,2020-12-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),Nalipa None and Aguipa,142.7383,-5.7129,UN Agencies,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,PG21,PG2105,PG210517,26,actor2,Nalipa
15,NA,2021-01-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7333,-5.71208,International Organizations,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,PG21,PG2105,PG210517,0,actor1,Aguiba
15,NA,2021-01-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7333,-5.71208,International Organizations,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,PG21,PG2105,PG210517,0,actor2,Nalipa
15,NA,2021-02-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7333,-5.71208,International Organizations,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,PG21,PG2105,PG210517,0,actor1,Aguiba
15,NA,2021-02-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7333,-5.71208,International Organizations,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,PG21,PG2105,PG210517,0,actor2,Nalipa
15,NA,2021-07-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7333,-5.71208,International Organizations,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PG21,PG2105,PG210517,0,actor1,Aguiba
15,NA,2021-07-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7333,-5.71208,International Organizations,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Paused,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,PG21,PG2105,PG210517,0,actor2,Nalipa
15,NA,2022-03-30,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7333,-5.71208,International Organizations,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Active,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,PG21,PG2105,PG210517,0,actor1,Aguiba
15,NA,2022-03-30,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7333,-5.71208,International Organizations,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Active,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,PG21,PG2105,PG210517,0,actor2,Nalipa
15,NA,2022-04-13,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7383,-5.7129,UN Agencies,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Active,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,PG21,PG2105,PG210517,2,actor1,Aguiba
15,NA,2022-04-13,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,Wanga 2 (High School),"Pandu Ward
Naliba/Aguba Village",142.7383,-5.7129,UN Agencies,Aguiba- Nalipa Conflict,Aguiba and Naliba None,Active,NA,NA,NA,"Theft of pigs, money and or valuables",NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,PG21,PG2105,PG210517,2,actor2,Nalipa
16,NA,2020-11-01,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,"Yuhama area (north of Karume)
at the border of Hela and Enga",143.3578,-5.91383,International Organizations,Habini- Hariripa fight,Habini and Hariripa,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,PG21,PG2104,PG210431,15,actor1,Habini
16,NA,2020-11-01,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,"Yuhama area (north of Karume)
at the border of Hela and Enga",143.3578,-5.91383,International Organizations,Habini- Hariripa fight,Habini and Hariripa,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,PG21,PG2104,PG210431,15,actor2,Hariripa
17,NA,2020-11-01,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,"Yuhama area (north of Karume)
at the border of Hela and Enga",143.3578,-5.91383,International Organizations,Monani- Wake fight,Monani and Wake,Unknown,NA,NA,NA,Land ownership and boundary dispute,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,PG21,PG2104,PG210431,5,actor1,Monani
17,NA,2020-11-01,NA,Hela Province,Komo Magarima District,Upper Wage LLG,NA,"Yuhama area (north of Karume)
at the border of Hela and Enga",143.3578,-5.91383,International Organizations,Monani- Wake fight,Monani and Wake,Unknown,NA,NA,NA,Land ownership and boundary dispute,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,PG21,PG2104,PG210431,5,actor2,Wake
18,NA,2001-04-21,NA,Hela Province,Tari Pori District,Tari Urban LLG,NA,Pii Nakia Ward,142.9758,-5.82271,International Organizations,Pii Lepa- Pii Tapaya,Pii Lepa- Pii Tapaya,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,16,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,PG21,PG2108,PG210829,16,actor1,Pii Lepa
18,NA,2001-04-21,NA,Hela Province,Tari Pori District,Tari Urban LLG,NA,Pii Nakia Ward,142.9758,-5.82271,International Organizations,Pii Lepa- Pii Tapaya,Pii Lepa- Pii Tapaya,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,16,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,PG21,PG2108,PG210829,16,actor2,Pii Tapaya
19,NA,2017-01-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,"Yalube 1 and 2, Egele 1 and 2. Villages of Fugwa, Pupa",142.7285,-5.81874,International Organizations,Koroba conflict (Yaluba fights),Lumbu and Kobia (clans),Unknown,NA,NA,NA,Land ownership and boundary dispute,NA,NA,40,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,PG21,PG2105,PG210517,140,actor1,Lumbu
19,NA,2017-01-01,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,"Yalube 1 and 2, Egele 1 and 2. Villages of Fugwa, Pupa",142.7285,-5.81874,International Organizations,Koroba conflict (Yaluba fights),Lumbu and Kobia (clans),Unknown,NA,NA,NA,Land ownership and boundary dispute,NA,NA,40,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,PG21,PG2105,PG210517,140,actor2,Kobia
19,NA,2017-01-02,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,"Yalube 1 and 2, Egele 1 and 2. Villages of Fugwa, Pupa",142.7285,-5.81874,International Organizations,Koroba conflict (Yaluba fights),Tobani (ally of Lumbu) and . Koma (ally of Kobia),Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,PG21,PG2105,PG210517,0,actor1,Tobani
19,NA,2017-01-02,NA,Hela Province,Koroba Kopiago District,South Koroba Rural LLG,NA,"Yalube 1 and 2, Egele 1 and 2. Villages of Fugwa, Pupa",142.7285,-5.81874,International Organizations,Koroba conflict (Yaluba fights),Tobani (ally of Lumbu) and . Koma (ally of Kobia),Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,PG21,PG2105,PG210517,0,actor2,Koma
20,NA,2020-12-01,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Kakarene 1 and 2,142.777,-5.74631,International Organizations,Kakarene Fight,Honaka and Himi Tribes,Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,PG21,PG2105,PG210516,4,actor1,Honaka
20,NA,2020-12-01,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Kakarene 1 and 2,142.777,-5.74631,International Organizations,Kakarene Fight,Honaka and Himi Tribes,Paused,NA,NA,NA,Land ownership and boundary dispute,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,PG21,PG2105,PG210516,4,actor2,Himi Tribes
20,NA,2020-12-02,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Kakarene 1 and 3,142.777,-5.74631,International Organizations,Kakarene Fight,Honaka and Himi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,PG21,PG2105,PG210516,0,actor1,Honaka
20,NA,2020-12-02,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Kakarene 1 and 3,142.777,-5.74631,International Organizations,Kakarene Fight,Honaka and Himi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,PG21,PG2105,PG210516,0,actor2,Himi Tribes
21,NA,2020-07-01,NA,Hela Province,Koroba Kopiago District,North Koroba Rural LLG,NA,Ward: Yatemali,142.6797,-5.76274,International Organizations,Yatemali Fight,Pari and Awi Tribes,Active,NA,NA,NA,Land ownership and boundary dispute,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,PG21,PG2105,PG210516,0,actor1,Pari
